Gene	Num.sgRNA	Library.ES	Initial.ES	Final.ES	EnrichmentRatio	pval	qval
ACAA2	6	1363.500000	884.944444	624.444444	-0.503014	0.7059454179340821	0.0409526441864750
ACACA	6	1402.777778	577.277778	800.944444	0.472436	0.3107995162446185	0.0253063386769854
ACACB	6	3000.277778	2132.388889	1452.944444	-0.553491	0.1764397942959848	0.0172194582642344
ACAD10	6	2920.388889	2182.555556	2422.611111	0.150544	0.8360485051005503	0.0450548185000921
ACAD11	6	974.666667	1169.388889	1894.166667	0.695808	0.3975662788261613	0.0294937350285609
ACAD8	6	3426.166667	3386.111111	1457.277778	-1.216353	0.0038496448688931	0.0010756403169338
ACAD9	6	3380.333333	637.444444	1329.944444	1.060994	0.3479463078073661	0.0272019531969781
ACADL	6	2052.666667	2424.388889	2340.055556	-0.051078	0.9330883982780562	0.0479155150175051
ACADM	6	281.222222	3085.111111	577.277778	-2.417985	0.0174621682837158	0.0032453473373871
ACADS	6	2422.333333	2019.500000	2882.888889	0.513517	0.1440593624467869	0.0148654873779252
ACADSB	6	2574.555556	1131.555556	1340.000000	0.243926	0.8000423603243610	0.0438962594435231
ACADVL	6	1281.222222	2201.611111	392.666667	-2.487183	0.0032554296925192	0.0009673852957435
ACAN	6	1406.388889	2163.944444	2046.833333	-0.080270	0.9047940992137461	0.0471116639027087
ACAP1	6	1727.333333	2206.277778	3337.888889	0.597321	0.0267364427245739	0.0043394140409066
ACAP2	6	165.444444	3116.777778	2085.777778	-0.579470	0.1038969189992071	0.0117928874147780
ACAP3	6	2556.833333	2178.055556	1438.888889	-0.598086	0.2775650918855046	0.0235235857748296
ACAT1	6	2898.111111	885.000000	1086.611111	0.296086	0.5855647202724378	0.0368827160493827
ACAT2	6	3058.611111	2250.277778	3031.944444	0.430140	0.1395810461400536	0.0145199926294454
ACBD3	6	317.111111	3014.222222	1876.055556	-0.684083	0.0205320719966368	0.0035747189976046
ACBD4	6	788.055556	1271.388889	1659.000000	0.383909	0.7266073572171816	0.0416021743136171
ACBD5	6	3217.111111	634.611111	2024.555556	1.673661	0.0103815868951745	0.0022457158651188
ACBD6	6	3380.166667	805.555556	2582.000000	1.680433	0.1637536981101778	0.0163073521282477
ACBD7	6	2742.277778	3135.777778	2111.944444	-0.570251	0.1974992249855045	0.0188087341072416
ACCS	6	655.611111	2333.444444	2342.611111	0.005656	0.9874966207373309	0.0495715865118850
ACCSL	6	1673.111111	3157.944444	430.277778	-2.875646	0.0003492496061452	0.0001842638658559
ACD	6	1204.055556	1350.000000	2298.666667	0.767838	0.3884080432456479	0.0291206007002027
ACE	6	3284.888889	2122.333333	1195.444444	-0.828104	0.1404830412534637	0.0146052146674037
ACE2	6	3141.055556	2732.277778	2699.944444	-0.017174	0.9517066102160890	0.0484798231066888
ACER1	6	1097.055556	1551.888889	2797.222222	0.849970	0.2243268551079400	0.0205200847613783
ACER2	6	1825.555556	2784.111111	2122.833333	-0.391226	0.5310492940039097	0.0349410355629261
ACER3	6	2614.388889	3191.055556	3034.777778	-0.072443	0.5741039149828360	0.0364934586327621
ACHE	6	185.222222	1088.833333	1812.166667	0.734933	0.3788681784968168	0.0287198267919661
ACIN1	6	2998.444444	1579.888889	2188.111111	0.469863	0.0774283979967672	0.0095333517597199
ACKR2	6	1768.888889	701.111111	1946.111111	1.472879	0.1170005762303819	0.0127763957987839
ACKR3	6	1445.500000	2544.277778	2056.888889	-0.306792	0.5733981742023531	0.0364750322461765
ACKR4	6	1142.833333	2053.277778	1827.277778	-0.168233	0.7710849567515412	0.0430256126773540
ACLY	6	1996.444444	2163.555556	2064.500000	-0.067612	0.8607968321543189	0.0458241201400405
ACMSD	6	1257.888889	1131.833333	889.888889	-0.346964	0.4789145782440065	0.0329486825133591
ACN9	6	3510.111111	597.277778	1597.055556	1.418941	0.3863958819193874	0.0290307720655979
ACO1	6	3341.055556	2042.222222	447.055556	-2.191614	0.0436137865371214	0.0062212087709600
ACO2	6	1174.888889	1327.833333	1975.222222	0.572941	0.3198218463929013	0.0257877280265340
ACOT1	6	2046.833333	3266.444444	2717.500000	-0.265441	0.1849551033815853	0.0178851114796388
ACOT11	6	3566.888889	1477.166667	2917.222222	0.981763	0.1662517222125079	0.0165192555739819
ACOT12	6	753.888889	2556.444444	2555.722222	-0.000408	0.9992740141851184	0.0499838769117376
ACOT13	6	198.944444	1498.722222	1624.277778	0.116065	0.8603073133120156	0.0458149069467477
ACOT2	6	2681.722222	1175.555556	186.555556	-2.655665	0.0898598444262861	0.0105652294085130
ACOT4	6	2912.666667	3229.500000	2704.944444	-0.255712	0.5643197830259481	0.0361433572876359
ACOT6	6	3538.222222	1194.444444	1209.055556	0.017541	0.9826244490893004	0.0494011424359683
ACOT7	6	386.111111	2683.555556	1969.111111	-0.446601	0.5460793109071881	0.0355306799336650
ACOT8	6	2359.277778	2219.500000	1938.111111	-0.195583	0.7310905258351814	0.0417541920029482
ACOT9	6	534.000000	2240.222222	1506.166667	-0.572760	0.3690900071090745	0.0282637737239727
ACOX1	6	1730.277778	2233.611111	2245.222222	0.007480	0.9914735592982049	0.0497397272894785
ACOX2	6	2462.222222	1720.833333	1101.555556	-0.643565	0.4403565192609573	0.0313916528468767
ACOX3	6	437.055556	1097.666667	1268.888889	0.209126	0.8874343230110742	0.0466487009397457
ACOXL	6	3092.722222	1278.555556	1915.333333	0.583081	0.3768958182114273	0.0286184816657453
ACP1	6	2954.611111	148.944444	956.833333	2.683493	0.1263424950360248	0.0135364842454395
ACP2	6	2425.888889	3001.166667	1155.833333	-1.376590	0.1207507483895638	0.0130712179841533
ACP5	6	3462.555556	1933.944444	1594.388889	-0.278543	0.6703204307060466	0.0398332412014004
ACP6	6	1216.777778	1318.555556	2705.277778	1.036818	0.0776243291691204	0.0095632946379215
ACPL2	6	346.888889	2741.944444	2134.555556	-0.361264	0.4265139423220821	0.0307352128247651
ACPP	6	2998.222222	2537.111111	1599.333333	-0.665716	0.3556311512865630	0.0275796941219827
ACPT	6	814.111111	2391.888889	1633.888889	-0.549840	0.2761169745970570	0.0234383637368712
ACR	6	969.500000	3079.833333	2113.222222	-0.543408	0.1938663691842562	0.0185461580983969
ACRBP	6	821.055556	3295.888889	2121.500000	-0.635583	0.1470933850327674	0.0150843007186291
ACRC	5	2133.600000	3270.933333	2097.733333	-0.640871	0.3482493338357308	0.0272226828818869
ACRV1	6	3420.500000	491.500000	1511.722222	1.620930	0.3619811032877934	0.0278998525889073
ACSBG1	6	1627.666667	2299.111111	2968.111111	0.368469	0.3130036210682841	0.0254376266814078
ACSBG2	6	1259.222222	2983.166667	2705.333333	-0.141038	0.4661796702119323	0.0324649898654874
ACSF2	6	442.611111	2644.777778	2247.166667	-0.235039	0.5929695222943955	0.0371130458817026
ACSF3	6	3110.444444	2598.444444	975.277778	-1.413763	0.0253047061730708	0.0041551501750507
ACSL1	6	3511.500000	1552.333333	3078.944444	0.987997	0.0225287248558679	0.0038188686198636
ACSL3	6	448.333333	2467.888889	2215.444444	-0.155681	0.6630461376475919	0.0395983047724341
ACSL4	6	3333.333333	1365.333333	1135.888889	-0.265431	0.7431860360781370	0.0421088999447208
ACSL5	6	2845.833333	688.277778	2046.944444	1.572409	0.1050719350611168	0.0118573797678275
ACSL6	6	152.388889	3428.444444	1509.444444	-1.183536	0.1674132825190767	0.0165860512253547
ACSM1	6	2024.944444	785.888889	3351.444444	2.092386	0.0143976890295812	0.0027962041643634
ACSM2A	6	3276.444444	1298.055556	1206.111111	-0.105989	0.8775431188535613	0.0463193292795283
ACSM2B	6	3162.000000	1835.888889	1415.500000	-0.375167	0.6290235062839398	0.0383729500644924
ACSM3	6	2228.000000	1488.611111	2465.722222	0.728043	0.2403962041668422	0.0214575271789202
ACSM4	6	3131.222222	621.388889	2194.166667	1.820105	0.0747739924327536	0.0093030219274000
ACSM5	6	2087.833333	911.777778	57.055556	-3.998243	0.3471145796416426	0.0271674037221301
ACSS1	6	630.944444	3288.500000	2532.388889	-0.376931	0.4475553338829358	0.0316703519439838
ACSS2	6	671.277778	2376.611111	1632.777778	-0.541577	0.3773845630018700	0.0286461212456237
ACSS3	6	3112.944444	298.833333	1577.444444	2.400176	0.2452509286247874	0.0217615625575825
ACTA1	6	2174.611111	2633.944444	1833.777778	-0.522406	0.1832916511771712	0.0177561267735397
ACTA2	6	2433.555556	1295.166667	1714.722222	0.404837	0.5973283064671010	0.0372880965542657
ACTB	6	2166.555556	635.222222	1561.666667	1.297753	0.2685683482860748	0.0230099502487562
ACTBL2	6	819.611111	3392.666667	2066.277778	-0.715385	0.1193653865790793	0.0129744794545790
ACTC1	6	167.111111	2741.222222	980.944444	-1.482576	0.0235905562988538	0.0039524599226092
ACTG1	6	2775.611111	1879.777778	2178.166667	0.212552	0.7735834184975894	0.0430970149253731
ACTG2	6	1633.500000	2260.666667	2693.888889	0.252942	0.7000730104860389	0.0407798968122351
ACTL10	6	1197.000000	1884.388889	3130.666667	0.732373	0.2217167507589513	0.0203404274921688
ACTL6A	6	2116.111111	2497.611111	2951.166667	0.240737	0.3546117727758148	0.0275198083655795
ACTL6B	6	2398.055556	687.000000	2678.277778	1.962924	0.1056098120766117	0.0119011424359683
ACTL7A	6	1067.611111	2560.055556	2879.166667	0.169476	0.5629520084158881	0.0360834715312327
ACTL7B	6	2686.777778	876.222222	1095.777778	0.322587	0.3402529659951654	0.0267942693937719
ACTL8	6	49.666667	3610.388889	2181.222222	-0.727017	0.3120067622853115	0.0253731343283582
ACTL9	6	785.111111	2372.555556	1417.222222	-0.743376	0.3501714109812938	0.0273171181131380
ACTN1	6	1530.111111	2989.000000	1879.444444	-0.669357	0.3010855231421525	0.0248134328358209
ACTN2	6	1781.055556	2892.388889	1867.166667	-0.631411	0.4057469725017502	0.0298323198820711
ACTN4	6	699.277778	2745.722222	1000.944444	-1.455824	0.0405612591293021	0.0058849272157730
ACTR10	6	211.833333	1739.555556	163.333333	-3.412828	0.2275014496630515	0.0206859222406486
ACTR1A	6	2088.555556	443.000000	1453.777778	1.714428	0.3292966102974643	0.0262437810945274
ACTR1B	6	1690.111111	1570.000000	523.000000	-1.585882	0.2727364668642875	0.0232402800810761
ACTR2	6	72.055556	2512.333333	1081.222222	-1.216365	0.3167199473015323	0.0256218905472637
ACTR3	6	2799.555556	227.722222	2151.388889	3.239921	0.0050043088147967	0.0013174866408697
ACTR3B	5	3742.000000	2080.666667	1320.000000	-0.656508	0.2314138813483855	0.0209346784595541
ACTR3C	6	2958.444444	1889.555556	2174.000000	0.202305	0.4726248139666998	0.0327298691726552
ACTR5	6	2094.944444	2294.777778	2929.777778	0.352437	0.2348556188238372	0.0211811313801364
ACTR6	6	2050.777778	3087.000000	1031.277778	-1.581773	0.0193707654027413	0.0034434309931822
ACTR8	6	2104.111111	1971.666667	3358.333333	0.768330	0.0946200858883029	0.0110581352496775
ACTRT1	6	804.333333	2397.777778	3071.000000	0.357011	0.1074510951872373	0.0120347337387138
ACTRT2	6	302.666667	2602.277778	2340.444444	-0.152992	0.7288134193972481	0.0416735765616363
ACTRT3	6	171.055556	3532.666667	680.000000	-2.377151	0.0000099969837173	0.0000138197899392
ACVR1	6	2901.111111	1364.111111	2594.666667	0.927588	0.1479519127393324	0.0151464897733554
ACVR1B	6	479.444444	2540.055556	1576.611111	-0.688033	0.3633666761575001	0.0279758614335729
ACVR1C	6	770.166667	1903.388889	2893.277778	0.604134	0.2883869818642407	0.0241293532338308
ACVR2A	6	1028.611111	3111.111111	848.777778	-1.873971	0.0435426311059210	0.0062142988759904
ACVR2B	6	2723.166667	450.777778	2164.055556	2.263249	0.1054054524318913	0.0118873226460291
ACVRL1	6	1920.333333	2080.277778	653.444444	-1.670640	0.1829542128328356	0.0177307904919845
ACY1	6	3308.222222	626.555556	2863.444444	2.192237	0.0277151994248503	0.0044637921503593
ACY3	6	206.444444	3082.888889	1855.222222	-0.732691	0.2539335262230211	0.0221899760456974
ACYP1	5	2727.200000	1266.266667	1802.466667	0.509391	0.5417906757366520	0.0353533259627787
ACYP2	6	3147.555556	2204.000000	2204.888889	0.000582	0.9985413316511381	0.0499608439285056
ADA	6	2614.277778	1251.777778	2128.777778	0.766047	0.4397095169415894	0.0313640132669983
ADAD1	6	3582.000000	274.888889	2121.388889	2.948089	0.0150024876500244	0.0028837295006449
ADAD2	6	2130.944444	2963.777778	3082.111111	0.056482	0.8606126718261480	0.0458218168417173
ADAL	6	1266.833333	439.000000	637.055556	0.537198	0.6897977646296605	0.0404528284503409
ADAM10	6	2893.833333	1035.222222	2722.611111	1.395050	0.0231818556864147	0.0039040906578220
ADAM11	6	1107.444444	3567.722222	2331.388889	-0.613814	0.1959279852003677	0.0186889625944352
ADAM12	6	555.000000	3123.611111	2126.388889	-0.554809	0.3540444479381609	0.0274944720840243
ADAM15	6	2477.611111	2112.722222	703.611111	-1.586253	0.1473186244444830	0.0151096370001843
ADAM17	6	2275.000000	1309.722222	733.277778	-0.836829	0.1298789835656419	0.0137806338676985
ADAM18	6	683.722222	3078.333333	1522.555556	-1.015655	0.0130140754674158	0.0026165468951539
ADAM19	6	706.166667	1144.111111	2695.111111	1.236118	0.0849013712122405	0.0101828818868620
ADAM2	6	2396.388889	1466.166667	415.666667	-1.818550	0.1899536955212843	0.0182674590012898
ADAM20	6	1874.444444	186.888889	1339.111111	2.841023	0.3496945619915480	0.0272917818315828
ADAM21	6	2699.777778	752.944444	2413.777778	1.680678	0.0357714713533867	0.0053735949880228
ADAM22	6	1258.833333	2783.444444	587.555556	-2.244074	0.0060584312243481	0.0015063571033720
ADAM23	6	467.000000	2222.166667	1427.888889	-0.638083	0.5156026693316677	0.0343444812972176
ADAM28	6	2441.388889	2337.000000	1767.333333	-0.403084	0.3201903590695869	0.0258061544131196
ADAM29	6	809.000000	2125.888889	1744.888889	-0.284931	0.6806678546883822	0.0401810392482034
ADAM30	6	1430.166667	1710.277778	2388.444444	0.481841	0.2366978427858768	0.0212893864013267
ADAM32	6	3074.444444	795.333333	2673.500000	1.749098	0.0024496505621678	0.0007831214298876
ADAM33	6	3236.722222	932.333333	1097.444444	0.235230	0.5256684894666948	0.0347406486088078
ADAM7	6	2940.555556	1805.888889	2811.611111	0.638688	0.1856551124972898	0.0179449972360420
ADAM8	6	2480.388889	2659.500000	1339.388889	-0.989580	0.1960920320009630	0.0187050856826976
ADAM9	6	2925.222222	962.277778	1948.611111	1.017921	0.3911676717282171	0.0292380689146858
ADAMDEC1	6	2373.333333	534.166667	1493.388889	1.483228	0.0568643408305389	0.0075916712732633
ADAMTS1	6	2156.277778	2102.055556	2985.111111	0.505984	0.1142282692667291	0.0125714022480192
ADAMTS10	6	762.666667	1301.444444	2286.222222	0.812852	0.2218703334461271	0.0203473373871384
ADAMTS12	6	845.777778	3397.500000	804.166667	-2.078907	0.0497578669146954	0.0068546158098397
